#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,HOF
31,Julius Randle,459,30.6,17.5,6.5,13.4,48.2,0.8,2.3,34.3,3.7,5,74.1,2,7.2,9.2,3.4,0.7,0.5,2.7,51.1,55.8,0
32,Nikola Vucevic,679,30.7,16.8,7.2,14.6,49.4,0.7,1.9,35.4,1.7,2.2,75.6,2.6,7.8,10.4,2.7,0.9,0.9,1.7,51.8,53.9,0
33,Khris Middleton,591,31.7,16.8,6.1,13.3,46,1.8,4.6,39.3,2.7,3.1,87.9,0.6,4.2,4.8,3.6,1.2,0.2,2,52.7,57.1,0
34,Rudy Gay,1009,32.4,16.8,6.3,14,45.4,1.1,3.1,35,3,3.7,79.9,1.3,4.5,5.8,2.1,1.2,0.8,2.1,49.2,53.6,0
35,Eric Gordon,702,32.6,16.6,5.6,13.2,42.6,2.3,6.3,36.9,3,3.7,81.1,0.4,2,2.4,2.8,0.9,0.3,2,51.4,55.9,0
36,Brook Lopez,856,30.3,16.5,6.3,12.7,49.4,0.7,2.2,34,3.1,3.9,79.6,2.1,4.2,6.3,1.4,0.6,1.8,1.7,52.3,56.9,0
37,Tobias Harris,687,31,16.3,6.2,13.1,47.6,1.3,3.6,36.6,2.5,3.1,82.8,1,5.1,6.1,2.2,0.7,0.5,1.4,52.6,56.5,0
38,Dwight Howard,1193,32.4,16.1,5.8,9.9,58.6,0,0.1,17.4,4.4,7.8,56.6,3.4,8.6,12,1.4,0.9,1.8,2.7,58.7,60.2,0
39,Buddy Hield,400,28.9,16,5.9,13.5,43.4,3,7.5,40.5,1.3,1.5,86.2,0.7,3.5,4.3,2.4,0.8,0.3,1.7,54.6,56.6,0
40,Jrue Holiday,779,33.1,16,6.3,13.8,45.6,1.3,3.8,35.8,2,2.6,77.8,0.9,3.1,4,6.4,1.5,0.5,2.7,50.5,53.4,0
41,Danilo Gallinari,672,30.2,15.8,4.8,11.2,42.7,2,5.2,38.2,4.3,4.9,87.5,0.7,4.1,4.8,2,0.8,0.4,1.3,51.4,59.1,0
42,Gordon Hayward,699,31.1,15.7,5.4,11.9,45.4,1.4,3.7,37.2,3.5,4.2,82.5,0.8,3.7,4.5,3.5,1,0.4,2,51.2,56.9,0
43,Jordan Clarkson,533,26.9,15.2,5.8,13.2,44,1.7,5,33.8,1.9,2.3,82.8,0.8,2.4,3.2,2.5,0.9,0.1,1.7,50.5,53.7,0
44,Mike Conley,896,32.2,14.9,5.3,12.1,44,1.5,4,38,2.8,3.4,82.1,0.5,2.5,3,5.7,1.4,0.2,2,50.2,55,0
45,Kyle Lowry,971,31.8,14.8,4.8,11.2,42.4,1.9,5.2,36.7,3.4,4.2,81.2,0.8,3.6,4.4,6.3,1.3,0.3,2.4,50.8,56.7,0
46,Bojan Bogdanovic,546,28.9,14.6,5.1,11.1,45.6,2,5,39.2,2.5,2.9,86.4,0.5,3,3.5,1.5,0.6,0.1,1.6,54.4,58.9,0
47,Andre Drummond,657,30.6,14.4,6.1,11.3,53.7,0,0.2,13.4,2.2,4.8,47.2,4.7,9,13.7,1.4,1.4,1.5,2,53.8,53.8,0
48,Evan Fournier,578,28.5,14.3,5.1,11.5,44.9,1.9,4.9,37.9,2.2,2.7,80.5,0.4,2.4,2.8,2.6,0.9,0.1,1.6,53.1,56.6,0
49,Dennis Schroder,569,26.4,14.3,5.4,12.3,43.6,1.1,3.4,33.6,2.4,2.9,83.1,0.4,2.5,2.9,4.7,0.8,0.1,2.4,48.3,52.7,0
50,Lou Williams,1075,24.6,14.2,4.6,10.9,41.9,1.3,3.8,35.1,3.7,4.4,84.2,0.4,1.9,2.2,3.4,0.9,0.2,1.7,48,55.2,0
51,Harrison Barnes,683,31.7,14,5.1,11.3,45.3,1.3,3.5,37.8,2.5,3.1,80.2,1,4.1,5.1,1.8,0.7,0.2,1.2,51.1,55.4,0
52,Al Horford,891,32.4,13.9,5.8,11.3,51.6,0.6,1.7,36,1.7,2.2,75.7,2.1,6.2,8.2,3.3,0.8,1.2,1.6,54.3,56.8,0
53,Eric Bledsoe,713,28,13.9,5,10.9,45.2,1.1,3.4,33.5,2.9,3.7,78.6,0.8,3.2,3.9,4.7,1.4,0.5,2.5,50.4,55.4,0
54,Tim Hardaway Jr.,556,26.9,13.9,4.9,11.4,42.4,2.1,5.9,36,2,2.5,81.4,0.3,2.4,2.8,1.9,0.6,0.1,1.1,51.7,55.3,0
55,Goran Dragic,871,27.9,13.9,5.1,11,46.1,1.2,3.4,36.4,2.5,3.2,76.7,0.7,2.4,3.1,4.8,1,0.2,2.3,51.8,55.9,0
56,Paul Millsap,1064,28.4,13.6,5.1,10.4,49,0.5,1.5,34.2,2.9,3.9,73.6,2.2,5,7.1,2.2,1.2,1,1.7,51.4,56,0
57,Hassan Whiteside,458,25.5,13.1,5.5,9.4,58.1,0,0.1,30.8,2.1,3.5,60.5,3.2,8,11.2,0.7,0.6,2.3,1.6,58.2,59.7,0
58,Thaddeus Young,1042,29.8,13,5.6,11.2,50.2,0.5,1.4,33.1,1.3,2,66.6,2,3.9,5.9,1.9,1.4,0.4,1.5,52.3,54,0
59,Jonas Valanciunas,634,25.8,13,5.2,9.2,56.4,0.2,0.5,37,2.5,3.2,78.4,2.8,6.5,9.3,1.1,0.4,1,1.6,57.3,61.5,0
60,Jeff Green,988,29.2,12.8,4.6,10.4,44.4,1.1,3.1,33.9,2.5,3.1,80.4,0.9,3.5,4.3,1.6,0.7,0.5,1.4,49.5,54.3,0
61,Myles Turner,402,28.6,12.8,4.8,9.8,48.8,0.9,2.5,35.8,2.3,2.9,76.7,1.4,5.3,6.7,1.2,0.7,2.3,1.3,53.4,57.3,0
62,Aaron Gordon,465,28.5,12.7,4.8,10.6,45.1,1.1,3.4,32.1,2,2.9,69.6,1.6,4.7,6.3,2.5,0.8,0.7,1.5,50.3,53.4,0
63,Reggie Jackson,639,25.1,12.7,4.7,11,42.8,1.3,3.7,34.9,2,2.3,85.6,0.5,2.4,3,4.2,0.7,0.1,1.8,48.6,52.8,0
64,Clint Capela,410,26.7,12.6,5.5,8.8,62.3,0,0,0,1.7,3.2,53.4,3.5,7,10.5,0.9,0.7,1.6,1.2,62.3,62.1,0
65,Serge Ibaka,851,28.3,12.5,5.2,10.1,51.3,0.7,1.9,35.8,1.4,1.9,75.9,2.1,5.2,7.3,0.8,0.4,2,1.3,54.7,57.1,0
66,Marcus Morris Sr.,666,26.9,12.2,4.5,10.2,43.5,1.6,4.1,37.8,1.7,2.2,76.3,0.9,3.7,4.6,1.5,0.7,0.3,1.2,51.2,54.3,0
67,Rudy Gobert,557,29.7,12.1,4.5,6.9,64.7,0,0,0,3.2,5,63.1,3.3,8.1,11.4,1.3,0.7,2.2,1.6,64.7,66.4,0
68,Robert Covington,479,30.3,11.9,4,9.9,40.5,2.3,6.3,35.9,1.7,2,81.1,0.9,4.9,5.8,1.5,1.6,0.9,1.6,52,55.4,0
69,Gary Harris,414,28.7,11.8,4.4,9.8,44.9,1.4,4,35.7,1.5,1.9,80.5,0.6,1.9,2.5,2.1,1.2,0.2,1.2,52.1,55.2,0
70,Kelly Oubre Jr.,417,25,11.6,4.2,9.6,43.3,1.3,4,33,2,2.6,76.2,0.9,3.5,4.4,1,0.9,0.5,1.1,50.1,54,0
71,Andre Iguodala,1202,32.4,11.5,4.2,9,46.3,0.9,2.7,33.2,2.3,3.3,70.9,0.9,4,5,4.2,1.5,0.5,1.8,51.3,55.4,0
72,Terry Rozier,413,24.9,11.5,4.1,10.2,40.8,1.8,4.8,37.3,1.4,1.8,81.6,0.6,3.2,3.8,2.9,0.9,0.2,1.2,49.7,52.8,0
73,Enes Kanter,715,22,11.5,4.7,8.6,54.8,0.1,0.2,28.6,2,2.6,77.6,3,4.9,7.9,0.9,0.4,0.5,1.5,55.2,59,0
74,Avery Bradley,610,27.9,11.4,4.6,10.5,43.4,1.3,3.6,36.3,0.9,1.2,78,0.6,2.3,2.9,1.8,1,0.2,1.4,49.6,51.5,0
75,Will Barton,564,25.3,11.3,4.2,9.7,43.4,1.2,3.5,35.3,1.7,2.2,78.5,0.7,3.5,4.2,2.6,0.8,0.4,1.4,49.8,53.3,0
76,Kentavious CaldwellNaNPope,617,29.1,11.3,4.1,9.7,41.8,1.7,4.6,35.6,1.6,2,80.3,0.6,2.5,3.1,1.7,1.1,0.2,1,50.4,53.7,0
77,Terrence Ross,619,25,11.3,4.1,9.9,41.9,1.9,5.2,36.6,1.2,1.4,83.3,0.4,2.5,2.9,1.2,0.9,0.3,1,51.4,54,0
78,Nicolas Batum,866,31,11.3,4,9.2,43.7,1.6,4.4,36.2,1.7,2,83.9,1,4.2,5.2,3.6,1,0.6,1.7,52.4,56.1,0
79,Rodney Hood,404,25.7,11.2,4.1,9.6,42.1,1.5,4.2,36.8,1.5,1.8,84.1,0.4,2.4,2.7,1.7,0.7,0.2,1,50.1,53.6,0
80,Joe Harris,413,25.6,11.1,4.1,8.4,48.3,2.1,4.8,43.9,0.9,1.1,78,0.6,2.7,3.2,1.6,0.5,0.2,1.2,60.9,62.4,0
81,Ricky Rubio,644,30.3,11.1,3.6,9.2,39.1,0.9,2.8,32.8,3,3.5,84.3,0.6,3.5,4.1,7.6,1.8,0.1,2.6,44,51.5,0
82,George Hill,828,27.5,11,3.9,8.5,45.7,1.2,3.2,38.4,2,2.5,80.4,0.6,2.5,3.1,3.2,0.9,0.3,1.2,52.9,57.2,0
83,Markieff Morris,708,24.9,11,4.2,9.5,44.6,0.9,2.5,34.1,1.7,2.1,77.7,1.2,4,5.2,1.6,0.8,0.5,1.5,49.1,52.6,0
84,Otto Porter Jr.,452,26.3,10.8,4.2,8.7,47.9,1.3,3.3,40.3,1.1,1.4,79.4,1.1,3.8,4.9,1.5,1.1,0.4,0.8,55.6,57.9,0
85,Jerami Grant,518,25.6,10.8,3.8,8.3,45.5,1,2.8,34.7,2.3,3.3,70.8,0.9,3,3.9,1.3,0.6,1.1,1.1,51.4,55.7,0
86,Elfrid Payton,455,28.4,10.8,4.5,9.9,45,0.4,1.4,28.8,1.5,2.3,62.9,1.1,3.1,4.3,6.1,1.2,0.3,2.3,47.1,49.4,0
87,Derrick Favors,761,24.6,10.8,4.4,8.3,53.4,0,0.2,20.8,1.9,2.9,66.4,2.5,4.7,7.2,1.1,0.7,1.2,1.3,53.7,56.6,0
88,Trevor Ariza,1094,29.7,10.5,3.7,8.9,42.3,1.4,4.1,35.2,1.6,2.1,73.2,1,3.8,4.8,2.1,1.5,0.3,1.3,50.4,53.6,0
89,Alec Burks,557,22.1,10.4,3.6,8.4,42.2,0.9,2.5,37.5,2.4,3,79.5,0.6,2.7,3.3,1.9,0.7,0.2,1.2,47.8,53.5,0
90,Jeremy Lamb,527,21.1,10.4,3.8,8.6,44.3,1.1,3.1,34.6,1.7,1.9,86.1,0.5,3.2,3.7,1.6,0.7,0.4,0.8,50.4,54.7,0
91,Marcus Smart,460,29.5,10.2,3.4,9,37.5,1.5,4.7,31.9,1.9,2.5,77.6,0.9,2.7,3.6,4.2,1.6,0.4,1.7,46,50.5,0
92,Kelly Olynyk,580,22.2,10.2,3.7,7.7,47.7,1.2,3.3,36.6,1.6,2,77.8,1.2,3.9,5.1,2,0.8,0.5,1.5,55.6,59,0
93,Trey Burke,460,21.7,10,3.8,9.3,41.1,1.2,3.4,34.6,1.1,1.4,80.9,0.3,1.5,1.8,3.2,0.6,0.1,1.2,47.4,50.2,0
94,Rajon Rondo,926,30.2,9.9,4.1,9.1,45.7,0.5,1.4,32.2,1.2,1.9,60.9,1,3.6,4.6,8,1.6,0.1,2.7,48.2,50,0
95,D.J. Augustin,932,23.7,9.7,3.1,7.6,41.2,1.3,3.4,38,2.1,2.4,86.7,0.3,1.6,1.9,3.9,0.6,0,1.5,49.7,55.7,0
96,Jae Crowder,679,25,9.6,3.3,7.9,41.9,1.5,4.4,34.6,1.5,1.9,77.7,0.7,3.5,4.2,1.6,1,0.3,0.9,51.6,55.1,0
97,Steven Adams,600,26.9,9.5,4,6.7,58.9,0,0,7.7,1.6,2.9,55,3.5,4.3,7.7,1.3,0.9,1,1.4,58.9,59.5,0
98,DeAndre Jordan,944,27.3,9.3,3.8,5.6,67.5,0,0,8.3,1.8,3.7,47.5,3.1,7.4,10.5,1,0.6,1.6,1.4,67.5,64.4,0
99,Taj Gibson,852,24.9,9.3,3.8,7.4,51.8,0,0.2,21.3,1.5,2.2,71,2.3,3.9,6.2,1,0.6,1.1,1.1,52,55.3,0
100,Tristan Thompson,681,27.6,9.2,3.7,7.2,51.8,0,0.1,25.7,1.8,2.9,61,3.4,5.2,8.6,1,0.5,0.7,1.2,51.9,54.6,0
101,Doug McDermott,485,20.6,9,3.4,7.1,47.8,1.3,3.2,41,0.9,1,82.1,0.4,1.9,2.3,0.9,0.2,0.1,0.6,57,59.2,0
102,Austin Rivers,598,24.2,9,3.3,8,41.7,1.1,3.2,34.8,1.2,1.9,64.6,0.3,1.8,2.1,2.3,0.7,0.2,1.1,48.7,51,0
103,Patty Mills,752,19.9,8.9,3.2,7.5,42.8,1.7,4.3,38.8,0.9,1,85.8,0.3,1.4,1.7,2.3,0.6,0.1,1,53.9,56.4,0
104,Danny Green,767,25.6,8.9,3.2,7.5,42.3,1.9,4.8,40.1,0.7,0.8,80.5,0.6,2.9,3.5,1.6,1,0.8,1,55.2,56.9,0
105,Ben McLemore,495,22.8,8.8,3.1,7.6,41.6,1.5,4,36.3,1.1,1.4,77.6,0.4,1.9,2.4,1,0.6,0.2,1.1,51.2,54,0
106,Willie CauleyNaNStein,414,22.3,8.8,3.7,6.9,54.4,0,0.1,16.1,1.4,2.2,61.2,1.7,4.3,5.9,1.4,0.8,0.8,0.9,54.5,56.4,0
107,Patrick Beverley,477,27.6,8.8,3.1,7.4,41.6,1.6,4.2,38.2,1,1.3,76.2,1.1,3.2,4.3,3.4,1.1,0.5,1.3,52.3,54.7,0
108,Robin Lopez,908,22,8.8,3.7,6.8,53.6,0.1,0.2,29.3,1.4,1.9,74.7,2.3,2.7,4.9,0.8,0.2,1.1,1.1,54,57.3,0
109,Draymond Green,651,28.5,8.8,3.2,7.3,43.8,0.9,2.7,31.6,1.5,2.1,71.1,1.1,5.8,6.9,5.4,1.4,1,2.2,49.6,53.2,0
110,Joe Ingles,557,25.7,8.7,3.1,6.8,45.3,1.8,4.4,41.4,0.7,0.9,76.9,0.3,2.9,3.3,3.8,0.9,0.2,1.6,58.7,60.3,0
111,Cody Zeller,480,22.5,8.6,3.2,6.3,51.9,0.1,0.3,22.1,2.1,2.8,72.9,2,4,6,1.4,0.7,0.7,1.1,52.5,57.5,0
112,Kent Bazemore,631,21.1,8.5,3,7.3,41.5,1.1,3,35.5,1.4,1.9,72.4,0.4,2.9,3.2,1.8,1,0.5,1.4,48.8,52.2,0
113,Mason Plumlee,602,22.2,8.5,3.3,5.8,57.9,0,0.1,5.1,1.8,3.1,56.7,2,4.5,6.5,2.4,0.8,0.9,1.5,57.9,59.2,0
114,Justin Holiday,515,24.2,8.5,3,7.4,39.8,1.6,4.4,36.3,0.9,1.2,82.2,0.4,2.6,3,1.5,1,0.4,0.9,50.6,53.4,0
115,Wayne Ellington,732,21,8.1,2.9,7.2,41,1.6,4.1,38.2,0.7,0.8,84.4,0.3,1.8,2.2,1.1,0.5,0.1,0.7,51.9,54,0
116,JaMychal Green,432,21.3,8,3,6.4,47,0.8,2.2,37.4,1.1,1.5,77.1,1.7,4.1,5.9,0.9,0.6,0.4,1.1,53.4,56.6,0
117,E'Twaun Moore,598,21,7.9,3.2,7.1,45.5,0.9,2.4,38.8,0.6,0.8,74.2,0.5,1.5,2,1.8,0.7,0.2,0.9,52.1,53.5,0
118,James Johnson,690,20.6,7.9,3.1,6.5,47.4,0.5,1.7,30.4,1.2,1.7,68.6,0.8,2.8,3.6,2.1,0.8,0.9,1.4,51.4,54.1,0
119,JaVale McGee,758,17.1,7.9,3.4,5.9,57.2,0,0.1,17.5,1.1,1.9,59.5,1.9,3.3,5.2,0.4,0.4,1.5,1,57.3,58.6,0
120,Alex Len,539,19.1,7.8,3,5.9,50.6,0.2,0.6,33.3,1.6,2.3,68.6,1.9,4,6,0.8,0.4,1,1.2,52.3,56.1,0
121,Ish Smith,666,20.1,7.7,3.3,7.6,43,0.4,1.3,32.2,0.7,1.1,67.6,0.4,2.1,2.5,3.9,0.7,0.2,1.2,45.7,47.5,0
122,Gorgui Dieng,566,21.2,7.7,2.9,5.8,49.9,0.3,0.7,35.5,1.6,2,79.1,1.8,4.2,5.9,1.3,0.8,0.9,1.1,52.2,57.2,0
123,Udonis Haslem,862,25,7.6,3.1,6.3,49,0,0.1,8.5,1.4,1.9,75.5,1.9,4.8,6.7,0.8,0.5,0.3,0.9,49,53.3,0
124,Nerlens Noel,429,22.4,7.5,3.1,5.7,55,0,0,20,1.3,2,65.5,2,4.2,6.2,1.1,1.3,1.5,1.3,55,57.6,0
125,Dwight Powell,441,18.6,7.5,2.8,4.8,57,0.3,0.9,29.2,1.7,2.3,74.2,1.5,3.1,4.5,1,0.7,0.5,0.7,59.6,63.9,0
126,P.J. Tucker,718,29.1,7.1,2.6,6.1,42,1,2.9,35.9,0.9,1.2,74.9,1.5,4.1,5.7,1.4,1.2,0.3,1,50.4,53.3,0
127,Cory Joseph,674,21.9,7,2.7,6.2,44.4,0.5,1.5,33.3,1,1.3,77.5,0.5,2,2.6,2.9,0.8,0.2,1,48.5,51.9,0
128,Maurice Harkless,586,22.9,7,2.8,5.8,47.4,0.6,1.9,31.9,0.8,1.4,62.2,1.1,2.5,3.6,0.9,1,0.7,0.8,52.6,54.3,0
129,T.J. McConnell,467,22.2,6.9,3.1,6.1,50.6,0.2,0.7,33.3,0.5,0.6,75.8,0.5,2.4,3,5,1.3,0.2,1.6,52.6,54.1,0
130,Kyle Anderson,448,20.9,6.6,2.6,5.3,47.9,0.4,1.2,33.9,1,1.4,72.4,0.7,3.6,4.3,2.3,1,0.6,0.9,51.9,55.1,0
131,Garrett Temple,643,21.7,6.5,2.3,5.7,40.4,1,2.9,34.7,0.8,1.1,74.5,0.4,1.9,2.4,1.8,0.8,0.3,0.9,49.1,52,0
132,Dewayne Dedmon,422,17.9,6.4,2.5,4.9,52.3,0.4,1.1,33.4,1,1.3,73.4,1.6,4.4,6,0.7,0.5,0.8,1,56.2,59,0
133,Tony Snell,555,22.2,6.3,2.3,5.3,43.3,1.2,3.1,39.7,0.5,0.6,84.4,0.3,2,2.3,1.2,0.5,0.2,0.6,55,56.8,0
134,Ed Davis,694,19.5,6.1,2.5,4.5,56.6,0,0,0,1.1,1.8,58.5,2.3,4.3,6.6,0.8,0.5,0.8,0.8,56.6,58.1,0
135,Solomon Hill,440,21.8,5.6,1.9,4.9,38.9,0.8,2.5,33.3,0.9,1.2,79.7,0.6,2.5,3.2,1.5,0.7,0.2,0.9,47.2,51.3,0
1,Chris Paul,"1,115",38566,20338,7164,15167,47.2,1506,4063,37.1,4504,5166,87.2,699,4322,5021,10530,2381,161,2680,52.2,58.3,0
2,LeBron James,"1,325",50605,35757,13051,25900,50.4,2020,5856,34.5,7635,10406,73.4,1548,8290,9838,9799,2092,994,4646,54.3,58.7,0
3,Andre Iguodala,"1,204",39043,13872,4993,10777,46.3,1068,3218,33.2,2818,3977,70.9,1102,4870,5972,5059,1743,618,2212,51.3,55.4,0
4,Russell Westbrook,970,33719,22384,7971,18211,43.8,1099,3592,30.6,5343,6782,78.8,1615,5555,7170,8292,1656,299,4018,46.8,52.8,0
5,Trevor Ariza,"1,094",32494,11497,4102,9705,42.3,1585,4505,35.2,1708,2332,73.2,1071,4203,5274,2352,1615,349,1462,50.4,53.6,0
6,Thaddeus Young,"1,053",31221,13653,5889,11727,50.2,498,1507,33,1377,2069,66.6,2127,4078,6205,1949,1500,436,1554,52.3,54,0
7,Rajon Rondo,932,28081,9198,3838,8403,45.7,425,1321,32.2,1097,1800,60.9,903,3372,4275,7464,1499,122,2541,48.2,50,0
8,James Harden,903,31140,22587,6667,15040,44.3,2509,6918,36.3,6744,7851,85.9,710,4290,5000,5980,1403,493,3385,52.7,61.1,0
9,Stephen Curry,786,26971,19093,6554,13784,47.5,2964,6860,43.2,3021,3328,90.8,535,3099,3634,5136,1324,175,2467,58.3,62.6,0
10,Paul Millsap,"1,073",30358,14493,5437,11119,48.9,539,1578,34.2,3080,4183,73.6,2327,5309,7636,2370,1322,1039,1820,51.3,55.9,0
11,Kyle Lowry,984,31302,14592,4686,11058,42.4,1876,5124,36.6,3344,4115,81.3,783,3517,4300,6183,1308,289,2326,50.9,56.7,0
12,Mike Conley,909,29207,13554,4813,10919,44.1,1381,3613,38.2,2547,3102,82.1,416,2284,2700,5145,1294,183,1819,50.4,55.2,0
13,Paul George,730,24525,14874,5066,11628,43.6,1825,4789,38.1,2917,3438,84.8,642,4055,4697,2595,1246,320,1964,51.4,56.6,0
14,Carmelo Anthony,"1,218",42471,27736,9923,22205,44.7,1647,4636,35.5,6243,7673,81.4,1944,5687,7631,3378,1196,607,3016,48.4,54.2,0
15,Rudy Gay,"1,020",32917,17017,6444,14188,45.4,1107,3151,35.1,3022,3783,79.9,1368,4568,5936,2179,1191,763,2172,49.3,53.7,0
16,Jrue Holiday,793,26284,12695,5016,10982,45.7,1075,3003,35.8,1588,2045,77.7,705,2453,3158,5045,1187,413,2149,50.6,53.4,0
17,Ricky Rubio,658,19933,7304,2374,6100,38.9,605,1853,32.6,1951,2315,84.3,416,2312,2728,4992,1181,85,1719,43.9,51.3,0
18,Jimmy Butler,651,21540,11414,3712,8075,46,535,1647,32.5,3455,4121,83.8,997,2429,3426,2618,1072,301,1036,49.3,57.7,0
19,Dwight Howard,"1,206",38841,19232,6960,11865,58.7,20,96,20.8,5292,9353,56.6,4070,10331,14401,1652,1065,2207,3278,58.7,60.2,0
20,John Wall,613,21833,11702,4235,9833,43.1,618,1912,32.3,2614,3355,77.9,347,2265,2612,5557,1018,427,2332,46.2,51.7,0
21,Kawhi Leonard,576,18025,11085,3986,8080,49.3,865,2251,38.4,2248,2620,85.8,696,2993,3689,1672,1013,367,933,54.7,60,0
22,Eric Bledsoe,728,20346,10051,3579,7914,45.2,823,2457,33.5,2070,2633,78.6,561,2296,2857,3410,994,336,1824,50.4,55.4,0
23,Kevin Durant,908,33333,24567,8388,16934,49.5,1696,4421,38.4,6095,6908,88.2,642,5779,6421,3811,989,1005,2847,54.5,61.5,0
24,Lou Williams,"1,088",26588,15370,4970,11852,41.9,1433,4083,35.1,3997,4751,84.1,421,2009,2430,3710,936,191,1871,48,55.1,0
25,Draymond Green,663,18909,5807,2122,4827,44,562,1781,31.6,1001,1410,71,732,3875,4607,3595,927,685,1450,49.8,53.3,0
26,Andre Drummond,670,20341,9514,4006,7461,53.7,15,112,13.4,1487,3152,47.2,3103,5979,9082,922,922,1015,1341,53.8,53.8,0
27,Kemba Walker,722,24159,14193,4902,11704,41.9,1628,4507,36.1,2761,3287,84,403,2347,2750,3843,914,278,1546,48.8,54,0
28,DeMar DeRozan,905,30893,18384,6586,14270,46.2,380,1342,28.3,4832,5788,83.5,667,3295,3962,3453,889,265,1854,47.5,54.7,0
29,Wesley Matthews,853,26400,10682,3647,8657,42.1,1731,4572,37.9,1657,2012,82.4,426,2078,2504,1751,868,173,1029,52.1,56,0
30,Goran Dragic,872,24326,12086,4420,9577,46.2,1086,2987,36.4,2160,2815,76.7,616,2068,2684,4177,849,160,1968,51.8,55.9,0
31,P.J. Tucker,732,21267,5174,1875,4445,42.2,756,2094,36.1,668,891,75,1118,3027,4145,1050,848,232,718,50.7,53.5,0
32,DeMarcus Cousins,611,18853,12397,4420,9620,45.9,390,1173,33.2,3167,4298,73.7,1623,4792,6415,1914,843,721,2070,48,53.8,0
33,Nicolas Batum,871,26968,9795,3486,7979,43.7,1389,3842,36.2,1434,1710,83.9,892,3639,4531,3137,833,549,1514,52.4,56.1,0
34,Danny Green,776,19845,6917,2447,5789,42.3,1496,3732,40.1,527,654,80.6,478,2225,2703,1229,811,611,791,55.2,56.9,0
35,Anthony Davis,589,20297,14063,5244,10196,51.4,289,946,30.5,3286,4128,79.6,1486,4536,6022,1367,807,1377,1148,52.8,58.5,0
36,Robert Covington,492,14824,5790,1945,4806,40.5,1103,3080,35.8,797,982,81.2,445,2408,2853,741,785,461,770,51.9,55.3,0
37,Kyrie Irving,582,19713,13293,4895,10418,47,1271,3248,39.1,2232,2534,88.1,459,1753,2212,3337,775,224,1524,53.1,57.6,0
38,Marcus Smart,475,14081,4864,1616,4293,37.6,712,2242,31.8,920,1185,77.6,407,1289,1696,2040,759,180,831,45.9,50.5,0
39,George Hill,837,23014,9149,3242,7090,45.7,1013,2646,38.3,1652,2052,80.5,500,2071,2571,2632,756,224,1039,52.9,57.2,0
40,LaMarcus Aldridge,"1,053",35758,20285,8204,16666,49.2,223,693,32.2,3654,4503,81.1,2736,5879,8615,2056,754,1168,1614,49.9,54.4,0
41,Victor Oladipo,454,14969,7955,2923,6676,43.8,729,2101,34.7,1380,1745,79.1,270,1824,2094,1796,743,217,1163,49.2,53.4,0
42,Khris Middleton,604,19145,10157,3700,8067,45.9,1096,2787,39.3,1661,1890,87.9,371,2543,2914,2199,739,108,1231,52.7,57.1,0
43,Al Horford,904,29270,12571,5262,10199,51.6,549,1527,36,1498,1976,75.8,1862,5563,7425,2993,731,1070,1398,54.3,56.8,0
44,Giannis Antetokounmpo,613,19933,12982,4733,8895,53.2,404,1403,28.8,3112,4354,71.5,1034,4620,5654,2769,719,805,1744,55.5,60,0
45,Bradley Beal,628,21807,13822,5030,11035,45.6,1405,3771,37.3,2357,2870,82.1,544,2017,2561,2568,711,243,1506,51.9,56.2,0
46,Gordon Hayward,713,22239,11170,3853,8508,45.3,983,2660,37,2481,3005,82.6,544,2670,3214,2508,703,292,1406,51.1,56.8,0
47,Kentavious Caldwell-Pope,632,18405,7190,2569,6129,41.9,1056,2954,35.7,996,1236,80.6,397,1582,1979,1049,699,136,635,50.5,53.9,0
48,Jeff Green,"1,001",29232,12761,4622,10388,44.5,1055,3104,34,2462,3063,80.4,878,3470,4348,1557,698,525,1432,49.6,54.4,0
49,Damian Lillard,702,25492,17244,5649,12913,43.7,2106,5650,37.3,3840,4297,89.4,420,2515,2935,4670,678,218,1964,51.9,58.2,0
50,Jae Crowder,693,17377,6662,2288,5468,41.8,1068,3086,34.6,1018,1311,77.7,486,2424,2910,1093,673,236,607,51.6,55.1,0
51,Kent Bazemore,637,13356,5362,1912,4613,41.4,679,1911,35.5,859,1186,72.4,230,1810,2040,1135,649,305,892,48.8,52.2,0
52,Eric Gordon,714,23243,11814,4014,9413,42.6,1673,4528,36.9,2113,2609,81,288,1451,1739,2030,626,253,1418,51.5,55.9,0
53,Avery Bradley,622,17292,7026,2820,6496,43.4,808,2218,36.4,578,740,78.1,378,1410,1788,1076,621,124,843,49.6,51.5,0
54,T.J. McConnell,478,10619,3271,1461,2898,50.4,110,338,32.5,239,312,76.6,259,1167,1426,2388,609,93,765,52.3,53.9,0
55,Nikola Vucevic,687,21080,11558,4972,10074,49.4,483,1355,35.6,1131,1501,75.3,1778,5351,7129,1870,598,624,1187,51.8,53.8,0
56,Blake Griffin,686,23239,14084,5260,10656,49.4,486,1484,32.7,3078,4424,69.6,1401,4412,5813,2923,594,346,1688,51.6,55.9,0
57,Markieff Morris,708,17613,7770,2996,6718,44.6,602,1765,34.1,1176,1514,77.7,866,2831,3697,1144,575,369,1078,49.1,52.6,0
58,Derrick Favors,770,18862,8263,3378,6325,53.4,38,185,20.5,1469,2216,66.3,1904,3618,5522,834,569,930,992,53.7,56.6,0
